0,CombatZoneResize,241,226,406,391,,,,
0,heartmode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,SansX,450,-450,-320,304,,,,,,
2,The World Off,,,,,,
0.6,Zakeya Red Eyes Dizzy,470,50,,,,,,,,,
0,BoneStab,3,35,0.5,99,,,,,,,
0,BoneStab,1,35,0.5,99,,,,,,,
0,BoneStab,0,35,0.5,99,,,,,,,
0,BoneStab,2,35,0.5,99,,,,,,,
1.5,SET,gt9,0,,,,,,
0,SET,gin9,1,,,,,,
0,SET,QQ,0,,,,,,
0,RND,ZZ,100,,,,,,
0,SUB,QQ,$QQ,$ZZ,,,,,
0,MUL,Ang9,$gt9,$QQ,,,,,
0,COS,X9,$Ang9,,,,,,
0,SIN,Y9,$Ang9,,,,,,
0,MUL,EndX9,$X9,150,,,,,
0,MUL,EndY9,$Y9,150,,,,,
0,MUL,X9,$EndX9,3,,,,,
0,MUL,Y9,$EndY9,3,,,,,
0,ADD,X9,$X9,320,,,,,
0,ADD,Y9,$Y9,306,,,,,
0,ADD,EndX9,$EndX9,320,,,,,
0,ADD,EndY9,$EndY9,306,,,,,
0,ADD,Ang9,$Ang9,180,,,,,
0,GasterBlaster,0,$X9,$Y9,$EndX9,$EndY9,$Ang9,0.6,0
0,ADD,gt9,$gt9,$gin9,,,,,
0.5,JMPNL,31,$gin9,1.7,,,,,
0,SET,gin9,1,,,,,,
0,SET,QQ,0,,,,,,
0,RND,ZZ,100,,,,,,
0,SUB,QQ,$QQ,$ZZ,,,,,
0,MUL,Ang9,$gt9,$QQ,,,,,
0,COS,X9,$Ang9,,,,,,
0,SIN,Y9,$Ang9,,,,,,
0,MUL,EndX9,$X9,150,,,,,
0,MUL,EndY9,$Y9,150,,,,,
0,MUL,X9,$EndX9,3,,,,,
0,MUL,Y9,$EndY9,3,,,,,
0,ADD,X9,$X9,320,,,,,
0,ADD,Y9,$Y9,306,,,,,
0,ADD,EndX9,$EndX9,320,,,,,
0,ADD,EndY9,$EndY9,306,,,,,
0,ADD,Ang9,$Ang9,180,,,,,
0,GasterBlaster,0,$X9,$Y9,$EndX9,$EndY9,$Ang9,0.6,0
0,ADD,gt9,$gt9,$gin9,,,,,
0.5,JMPNL,50,$gin9,1.7,,,,,
0,SET,gin9,1,,,,,,
0,SET,QQ,0,,,,,,
0,RND,ZZ,100,,,,,,
0,SUB,QQ,$QQ,$ZZ,,,,,
0,MUL,Ang9,$gt9,$QQ,,,,,
0,COS,X9,$Ang9,,,,,,
0,SIN,Y9,$Ang9,,,,,,
0,MUL,EndX9,$X9,150,,,,,
0,MUL,EndY9,$Y9,150,,,,,
0,MUL,X9,$EndX9,3,,,,,
0,MUL,Y9,$EndY9,3,,,,,
0,ADD,X9,$X9,320,,,,,
0,ADD,Y9,$Y9,306,,,,,
0,ADD,EndX9,$EndX9,320,,,,,
0,ADD,EndY9,$EndY9,306,,,,,
0,ADD,Ang9,$Ang9,180,,,,,
0,GasterBlaster,0,$X9,$Y9,$EndX9,$EndY9,$Ang9,0.6,0
0,ADD,gt9,$gt9,$gin9,,,,,
0.3.5,JMPNL,69,$gin9,1.7,,,,,
0,SET,gin9,1,,,,,,
0,SET,QQ,0,,,,,,
0,RND,ZZ,100,,,,,,
0,SUB,QQ,$QQ,$ZZ,,,,,
0,MUL,Ang9,$gt9,$QQ,,,,,
0,COS,X9,$Ang9,,,,,,
0,SIN,Y9,$Ang9,,,,,,
0,MUL,EndX9,$X9,150,,,,,
0,MUL,EndY9,$Y9,150,,,,,
0,MUL,X9,$EndX9,3,,,,,
0,MUL,Y9,$EndY9,3,,,,,
0,ADD,X9,$X9,320,,,,,
0,ADD,Y9,$Y9,306,,,,,
0,ADD,EndX9,$EndX9,320,,,,,
0,ADD,EndY9,$EndY9,306,,,,,
0,ADD,Ang9,$Ang9,180,,,,,
0,RND,T9,4,,,,,,
0,ADD,T9,$T9,1,,,,,
0,JMPREL,$T9,,,,,,,
0,JMPABS,PP1,,,,,,,
0,JMPABS,PP2,,,,,,,
0,JMPABS,PP3,,,,,,,
0,JMPABS,PP3,,,,,,,
0,:PP1,,,,,,,,
0,GasterBlaster,1,276,0,276,166,90,0.5,0
0,JMPABS,III,,,,,,,
0,:PP2,,,,,,,,
0,GasterBlaster,1,0,356,181,356,0,0.5,0
0,JMPABS,III,,,,,,,
0,:PP3,,,,,,,,
0,GasterBlaster,1,371,480,371,451,-90,0.5,0
0,JMPABS,III,,,,,,,
0,:PP4,,,,,,,,
0,GasterBlaster,1,640,256,466,256,180,0.5,0
0,JMPABS,III,,,,,,,
0,:III,,,,,,,,
0,GasterBlaster,0,$X9,$Y9,$EndX9,$EndY9,$Ang9,0.6,0
0,ADD,gt9,$gt9,$gin9,,,,,
0,JMPNL,108,$gin9,1.7,,,,,
0.3.5,JMPL,15,$gt9,40,,,,,
2,EndAttack,,,,,,,,
